"year","month","day","td_ge","dt","luna_num","saros","eclipse_type","gamma","magnitude","lat_ge","lng_ge","lat_dd_ge","lng_dd_ge","sun_alt","sun_azm","path_width","central_duration","duration_secs","cat_no","canon_plate","julian_date","t0","x0","x1","x2","x3","y0","y1","y2","y3","d0","d1","d2","mu0","mu1","mu2","l10","l11","l12","l20","l21","l22","tan_f1","tan_f2","tmin","tmax","etype","PNS","UNS","NCN","nSer","nSeq","nJLE"
1905,3,6,"05:12:26",4.00000000,-1173,138,"A",-.57683000,.92690000,"39.5S","117.4E",-39.51212000,117.39447000,54.50000000,338.10000000,334.00000000,"07m58s",477.80000000,9292.00000000,465.00000000,2416910.71700000,5.00000000,.06806900,.48409000,-.00001870,-.00000545,-.58231300,.14769850,.00005330,-.00000161,-5.92252000,.01575200,.00000100,252.10149000,15.00358000,.00000000,.57161800,.00004280,-.00000990,.02535400,.00004260,-.00000990,.00471270,.00468930,-3.00000000,3.00000000,2,-1,0,0,70,25,20
1905,8,30,"13:07:26",4.60000000,-1167,143,"T",.57084000,1.04766000,"42.5N","4.3W",42.46776000,-4.31213000,55.00000000,201.60000000,192.40000000,"03m46s",226.10000000,9293.00000000,465.00000000,2417088.04700000,13.00000000,.09019100,.54854720,-.00000960,-.00000874,.56808500,-.15811650,-.00009100,.00000243,9.14298000,-.01451500,-.00000200,14.83230000,15.00446000,.00000000,.53746000,-.00008390,-.00001230,-.00863400,-.00008350,-.00001220,.00463180,.00460870,-3.00000000,3.00000000,1,1,0,0,72,17,20
1906,2,23,"07:43:20",5.30000000,-1161,148,"P",-1.24787000,.53863000,"71.4S","170.3W",-71.44226000,-170.34442000,.00000000,236.50000000,.00000000,"00m00s",.00000000,9294.00000000,465.00000000,2417264.82200000,8.00000000,.47811200,.51034090,-.00005310,-.00000655,-1.16199400,.14293750,.00010630,-.00000179,-10.11269000,.01485800,.00000200,296.59018000,15.00265000,.00000000,.56069900,.00010580,-.00001080,.01448900,.00010530,-.00001080,.00472510,.00470150,-3.00000000,3.00000000,4,-1,-1,-1,75,15,10
1906,7,21,"13:14:19",5.80000000,-1156,115,"P",-1.36369000,.33546000,"68.6S","33.3W",-68.61037000,-33.27753000,.00000000,15.20000000,.00000000,"00m00s",.00000000,9295.00000000,465.00000000,2417413.05200000,13.00000000,-.26347500,.52006960,.00001170,-.00000641,-1.34380810,-.05339500,-.00007410,.00000060,20.60782100,-.00776800,-.00000500,13.46594000,15.00074000,.00000000,.55726300,-.00009440,-.00001030,.01107000,-.00009400,-.00001030,.00460240,.00457950,-3.00000000,3.00000000,4,-1,-1,-1,72,70,1
1906,8,20,"01:12:50",5.90000000,-1155,153,"P",1.37306000,.31471000,"70.8N","66.4W",70.83815000,-66.43671000,.00000000,312.50000000,.00000000,"00m00s",.00000000,9296.00000000,465.00000000,2417442.55100000,1.00000000,.22896500,.52227100,-.00001480,-.00000704,1.35872100,-.13367870,-.00014430,.00000170,12.82207000,-.01326900,-.00000300,194.11769000,15.00364000,.00000000,.55096200,-.00011150,-.00001100,.00480100,-.00011100,-.00001090,.00462160,.00459860,-3.00000000,3.00000000,4,1,1,1,70,3,10
1907,1,14,"06:05:43",6.40000000,-1150,120,"T",.86278000,1.02811000,"38.3N","86.4E",38.29812000,86.38489000,30.10000000,175.30000000,189.20000000,"02m25s",144.70000000,9297.00000000,465.00000000,2417589.75400000,6.00000000,-.11532000,.57501670,-.00001470,-.00000948,.85680500,.04041700,.00011000,-.00000055,-21.50141000,.00697500,.00000600,267.79526000,14.99760000,.00000000,.54101900,.00006740,-.00001290,-.00509300,.00006700,-.00001280,.00475340,.00472970,-3.00000000,3.00000000,1,1,0,0,71,55,2
1907,7,10,"15:24:32",7.00000000,-1144,125,"A",-.63127000,.94562000,"16.9S","50.9W",-16.90591000,-50.90356000,50.70000000,1.50000000,258.40000000,"07m23s",442.90000000,9298.00000000,465.00000000,2417767.14200000,15.00000000,-.22421800,.50551060,.00000590,-.00000567,-.62532200,-.01390230,-.00011410,.00000007,22.34645100,-.00501800,-.00000500,43.75234000,14.99976000,.00000000,.56549200,-.00000620,-.00000970,.01925800,-.00000610,-.00000960,.00459980,.00457690,-3.00000000,3.00000000,2,-1,0,0,73,48,2
1908,1,3,"21:45:22",7.70000000,-1138,130,"T",.19336000,1.04374000,"11.8S","145.1W",-11.82319000,-145.13788000,78.90000000,180.40000000,148.80000000,"04m14s",253.80000000,9299.00000000,465.00000000,2417944.40600000,22.00000000,.14331300,.58088560,-.00000020,-.00000979,.19220500,-.00464840,.00016460,.00000020,-22.89520100,.00387400,.00000600,148.92136000,14.99670000,.00000000,.53929200,-.00004410,-.00001310,-.00681200,-.00004390,-.00001300,.00475500,.00473130,-3.00000000,3.00000000,1,0,0,0,73,46,4
1908,6,28,"16:29:51",8.30000000,-1132,135,"A",.13894000,.96547000,"31.4N","67.2W",31.44366000,-67.15820000,81.80000000,176.90000000,125.90000000,"04m00s",239.80000000,9300.00000000,465.00000000,2418121.18700000,17.00000000,.25196700,.51547410,-.00001330,-.00000611,.15190400,.02607010,-.00015460,-.00000040,23.28863000,-.00202400,-.00000600,74.25638000,14.99920000,.00000000,.56054200,.00007150,-.00001000,.01433200,.00007110,-.00001000,.00459940,.00457650,-3.00000000,3.00000000,2,0,0,0,71,33,44
1908,12,23,"11:44:28",9.00000000,-1126,140,"H",-.49845000,1.00242000,"53.4S","0.5W",-53.42343000,-.54156000,59.80000000,7.80000000,9.70000000,"00m12s",11.80000000,9301.00000000,466.00000000,2418298.98900000,12.00000000,.09957800,.55526610,.00002820,-.00000827,-.50928200,-.04936330,.00019900,.00000088,-23.44366100,.00053700,.00000600,.21549000,14.99628000,.00000000,.54955400,-.00011910,-.00001200,.00339900,-.00011850,-.00001200,.00475420,.00473050,-3.00000000,3.00000000,3,-1,0,0,71,23,30
